"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CPXM2",0,0.523456074292428,0.43,0.055,0,"0","CPXM2",0.375
"COL8A1",0,0.522639452151494,0.292,0.024,0,"0","COL8A1",0.268
"LGALS3",0,0.522354087055834,0.824,0.549,0,"0","LGALS3",0.275
"PROK1",0,0.521936211339344,0.436,0.074,0,"0","PROK1",0.362
"FGFR1",0,0.519278398808498,0.718,0.197,0,"0","FGFR1",0.521
"PPFIBP1",0,0.51902137673653,0.772,0.23,0,"0","PPFIBP1",0.542
"UGDH",0,0.517777440468908,0.585,0.161,0,"0","UGDH",0.424
"GPX8",0,0.514137709088416,0.628,0.127,0,"0","GPX8",0.501
"MYH10",0,0.513977815907512,0.68,0.148,0,"0","MYH10",0.532
"OAF",0,0.513864157343293,0.617,0.153,0,"0","OAF",0.464
"TPM4",0,0.513798822337725,0.959,0.609,0,"0","TPM4",0.35
"CSRP1",0,0.513425392775791,0.678,0.296,0,"0","CSRP1",0.382
"GADD45A",0,0.512467611291274,0.625,0.277,0,"0","GADD45A",0.348
"TUBA1A",0,0.511591051037228,0.882,0.559,0,"0","TUBA1A",0.323
"ADAMTS2",0,0.510958322676484,0.503,0.024,0,"0","ADAMTS2",0.479
"ABCA8",0,0.508709361036345,0.595,0.099,0,"0","ABCA8",0.496
"PLOD2",0,0.506268466660962,0.668,0.148,0,"0","PLOD2",0.52
"CD81",0,0.505299947311632,0.989,0.748,0,"0","CD81",0.241
"ANXA5",0,0.504142598932552,0.95,0.602,0,"0","ANXA5",0.348
"RACK1",0,0.503502097036424,0.995,0.915,0,"0","RACK1",0.08
"LAMA2",0,0.503238949480474,0.569,0.065,0,"0","LAMA2",0.504
"ECM2",0,0.500677292296482,0.59,0.073,0,"0","ECM2",0.517
"VKORC1",0,0.499666222081016,0.854,0.415,0,"0","VKORC1",0.439
"CPQ",0,0.497348221437828,0.749,0.216,0,"0","CPQ",0.533
"RPL7",0,0.497040594155187,0.993,0.89,0,"0","RPL7",0.103
"KDELR2",0,0.496846470864291,0.849,0.463,0,"0","KDELR2",0.386
"LAMB2",0,0.495321001617297,0.743,0.206,0,"0","LAMB2",0.537
"MAGED1",0,0.495119823549062,0.698,0.195,0,"0","MAGED1",0.503
"RPL29",0,0.494436676901268,0.995,0.946,0,"0","RPL29",0.049
"CHL1",0,0.492348779058901,0.462,0.04,0,"0","CHL1",0.422
"RRBP1",0,0.490682437079286,0.858,0.413,0,"0","RRBP1",0.445
"PEG10",0,0.490448031315415,0.56,0.142,0,"0","PEG10",0.418
"COL4A1",0,0.49027990637058,0.741,0.176,0,"0","COL4A1",0.565
"KLF10",0,0.490248437091065,0.676,0.264,0,"0","KLF10",0.412
"ANGPTL4",0,0.488970105472326,0.457,0.086,0,"0","ANGPTL4",0.371
"PLTP",0,0.488421863476691,0.725,0.214,0,"0","PLTP",0.511
"MGST3",0,0.486502843475683,0.942,0.541,0,"0","MGST3",0.401
"PDPN",0,0.485987219266335,0.526,0.055,0,"0","PDPN",0.471
"IMPDH2",0,0.48472690401806,0.835,0.322,0,"0","IMPDH2",0.513
"PRRX1",0,0.483691583372665,0.342,0.068,0,"0","PRRX1",0.274
"RPS2",0,0.483510423037183,0.998,0.967,0,"0","RPS2",0.031
"PBX1",0,0.482262460498951,0.747,0.225,0,"0","PBX1",0.522
"BICC1",0,0.481872738832028,0.584,0.062,0,"0","BICC1",0.522
"UAP1",0,0.480883069525497,0.516,0.17,0,"0","UAP1",0.346
"GLT8D2",0,0.480645091624387,0.589,0.058,0,"0","GLT8D2",0.531
"SH3D19",0,0.480572133883226,0.614,0.108,0,"0","SH3D19",0.506
"CERCAM",0,0.4800993942582,0.538,0.092,0,"0","CERCAM",0.446
"ADAMTS5",0,0.479613699042994,0.423,0.088,0,"0","ADAMTS5",0.335
"MFAP4",0,0.47789227982442,0.551,0.07,0,"0","MFAP4",0.481
"RPS18",0,0.476840235678611,0.999,0.977,0,"0","RPS18",0.022
"LAMP5",0,0.475287843795343,0.352,0.049,0,"0","LAMP5",0.303
"PTK7",0,0.475000059797086,0.621,0.124,0,"0","PTK7",0.497
"TCEAL3",0,0.47466116818719,0.696,0.211,0,"0","TCEAL3",0.485
"MCC",0,0.474216335926675,0.649,0.126,0,"0","MCC",0.523
"MYH11",0,0.473376848090563,0.314,0.062,0,"0","MYH11",0.252
"RAB34",0,0.472828253552746,0.788,0.265,0,"0","RAB34",0.523
"KANK2",0,0.472728875077502,0.691,0.161,0,"0","KANK2",0.53
"FXYD1",0,0.472076646730751,0.569,0.135,0,"0","FXYD1",0.434
"PEBP1",0,0.470769646629005,0.971,0.621,0,"0","PEBP1",0.35
"UBXN8",0,0.470677529333592,0.526,0.1,0,"0","UBXN8",0.426
"VCAM1",0,0.469039412090897,0.468,0.11,0,"0","VCAM1",0.358
"STAR",0,0.469010084545723,0.62,0.148,0,"0","STAR",0.472
"PAPSS2",0,0.467607851422559,0.598,0.106,0,"0","PAPSS2",0.492
"EVA1B",0,0.466959317839454,0.751,0.258,0,"0","EVA1B",0.493
"SOX4",0,0.466171125030343,0.866,0.315,0,"0","SOX4",0.551
"ITM2B",0,0.464328863073455,0.992,0.838,0,"0","ITM2B",0.154
"SEC31A",0,0.464119809871821,0.88,0.439,0,"0","SEC31A",0.441
"ENAH",0,0.462993400482015,0.749,0.208,0,"0","ENAH",0.541
"ITGA11",0,0.462211898371189,0.44,0.017,0,"0","ITGA11",0.423
"LRRC17",0,0.46170470902207,0.527,0.075,0,"0","LRRC17",0.452
"ARF4",0,0.461488093945888,0.854,0.442,0,"0","ARF4",0.412
"SAT2",0,0.460718587265545,0.845,0.404,0,"0","SAT2",0.441
"REXO2",0,0.460083144515608,0.836,0.368,0,"0","REXO2",0.468
"NPM1",0,0.459793553124172,0.99,0.831,0,"0","NPM1",0.159
"ALDH7A1",0,0.45826439621474,0.622,0.186,0,"0","ALDH7A1",0.436
"LPP",0,0.458115573075174,0.84,0.391,0,"0","LPP",0.449
"RPL12",0,0.456350461997926,0.996,0.944,0,"0","RPL12",0.052
